"anio","mes","sector","resolucion","expediente","beneficiario","apoderado","tramite"
2017,12,"AgroIndutriales","EM2017001387","E2017001387","AVICOLA LOS DRAGOS S. DE R. L.","DUNIA PRISCILA MURILLO MALDONADO","MODIFICACION VIA AMPLIACION DE LA RESOLUCION DE EXONERACION DEL PAGO DE IMPUESTO SOBRE VENTAS No. E2017001387"
2017,12,"AgroIndutriales","E2017001484","E2017001484","INTER-AMERICANA HONDURAS S. A. DE C. V.","JOSE ROBERTO TIJERINO INESTROZA","EXONERACION DE PAGO DEL IMPUESTO SOBRE VENTAS CORRESPONDIENTE AL A?O 2017"
2017,12,"AgroIndutriales","E2017001435","E2017001435","COMPAnIA HONDUREnA DE MERCADEO AGRICOLA S. A. DE C. V.","ANTONIO GALLEGOS D?AZ","EXONERACION DE PAGO DEL IMPUESTO SOBRE VENTAS CORRESPONDIENTE AL A?O 2017"
2017,12,"AgroIndutriales","E2017001717","E2017001717","PROTECCIONES AGRICOLAS","CLAUDIA GEORGINA REYES ORDO?EZ","EXONERACION DE PAGO DEL IMPUESTO SOBRE VENTAS CORRESPONDIENTE AL A?O 2017"
2017,12,"APP","E2017000740","E2017000740","PALMEROLA INTERNATIONAL AIRPORT S.A. DE C.V. PIA S.A. DE C.V.","ALEXA JAMALI ESPINAL MEZA","EXONERACION DE LA RETENCION DEL IMPUESTO SOBRE LOS PAGOS DE SERVICIOS U HONORARIOS CONTRATADOS CON PERSONAS NATURALES O JURIDICAS EXTRANJERAS"
2017,12,"Cooperativas","E2017001526","E2017001526","COOPERATIVA DE AHORRO Y CREDITO JUTICALPA LIMITADA","FIORELLA FERNANDEZ GUZMAN","EXONERACION DEL PAGO DEL IMPUESTO SOBRE LA RENTA ACTIVO NETO Y APORTACION SOLIDARIA PARA EL PERIODO FISCAL 2016"
2017,12,"Energia Renovable","E2017001335","E2017001335","VIENTOS DE ELECTROTECNIA S. A. DE C. V.","CAROLINA CASTILLO ARGUETA","EXONERACION DEL PAGO DEL IMPUESTO SOBRE LA RENTA ACTIVO NETO APORTACION SOLIDARIA E IMPUESTO DE GANANCIA DE CAPITAL Y DEMAS IMPUESTOS CONEXOS A LA RENTA PARA EL PERIODO FISCAL 2017"
2017,12,"Energia Renovable","E2017001551","E2017001551","SOCIEDAD ELECTRICA MESOAMERICANA S. A. DE C. V. SEMSA","DUNIA PRISCILA MURILLO MALDONADO","EXONERACION DEL IMPUESTO SOBRE LA RENTA Y SUS RETENCIONES SOBRE LOS PAGOS DE SERVICIOS U HONORARIOS CONTRATADOS CON PERSONAS NATURALES O JURIDICAS EXTRANJERAS"
2017,12,"Energia Renovable","E2017001517","E2017001517","ENERGIAS SOLARES S. A.","LILIAN ROSARIO LOPEZ","EXONERACION DE PAGO DEL IMPUESTO SOBRE VENTAS CORRESPONDIENTE AL A?O 2017"
2017,12,"Energia Renovable","E2017001909","E2017001909","SERVICIOS DE MANTENIMIENTO Y CONSTRUCCION S.A DE C.V SERMACO","JULIO EDUARDO GOM VENTURA","EXONERACION DE PAGO DEL IMPUESTO SOBRE VENTAS CORRESPONDIENTE AL A?O 2017"
