"anio","mes","sector","resolucion","expediente","beneficiario","apoderado","tramite"
2019,9,"ENERGiA RENOVABLE","E2018001224","E2018001224","INDUSTRIAS CONTEMPO S.A DE C.V","","IMPUESTO SOBRE LA RENTA, ACTIVO NETO, APORTACIoN SOLIDARIA"
2019,9,"ENERGiA RENOVABLE","E2018001988","E2018001988","ELECTROTECNIA S.A DE C.V","","IMPUESTO SOBRE LA RENTA"
2019,9,"ENERGiA RENOVABLE","E2018002273","E2018002273","SOCIEDAD ELECTRICA MESOAMERICANA S.A DE C.V","","IMPUESTO SOBRE LA RENTA, ACTIVO NETO, APORTACIoN SOLIDARIA"
2019,9,"ENERGiA RENOVABLE","E2018002274","E2018002274","SOCIEDAD ELECTRICA MESOAMERICANA S.A DE C.V","","RETENCIoN EN LA FUENTE"
2019,9,"DL-119-2016","EM2019000162","EM2019000162","SUPERAGRO S. DE R. L. DE C. V","","IMPUESTO SOBRE LA VENTA"
2019,9,"ASOCIACIONES SIN FINES DE LUCR","E2018000906","E2018000906","ASOCIACIoN HONDUREnA PREDICAR Y SANAR (PREDISAN)","","IMPUESTO SOBRE LA RENTA, ACTIVO NETO, APORTACIoN SOLIDARIA"
2019,9,"ENERGiA RENOVABLE","E2018000727","E2018000727","ENERGiA SOLAR CENTROAMERICANA S.A DE C.V","","IMPUESTO SOBRE LA RENTA, ACTIVO NETO, APORTACIoN SOLIDARIA"
2019,9,"ASOCIACIONES SIN FINES DE LUCR","E2018000754","E2018000754","AGENCIA DE DESARROLLO ESTRATEGICO LOCAL DE SANTA ROSA DE COPAN (ADELSAR)","","IMPUESTO SOBRE LA RENTA, ACTIVO NETO, APORTACIoN SOLIDARIA"
2019,9,"ZOLI","E2019000205","E2019000205","ZINMA EXPORT S. DE R.L","","IMPUESTO SOBRE LA VENTA"
2019,9,"DL-119-2016","E2018002695","E2018002695","AGROINDUSTRIAL ELIM S DE R L","","IMPUESTO SOBRE LA VENTA"
2019,9,"ENERGiA RENOVABLE","EA2019000022","EA2019000022","MERENDON POWER PLANT S.A. DE C.V.","","IMPUESTO SOBRE LA VENTA"
2019,9,"ZOLI","E2018000297","E2018000297","AEROSOLES FORMULACIONES Y ACCESORIOS TEXTILES S. A DE C. V","","IMPUESTO SOBRE LA RENTA, ACTIVO NETO, APORTACIoN SOLIDARIA"
2019,9,"ASOCIACIONES SIN FINES DE LUCR","E2018001915","E2018001915","CORPORACIoN AGUA PARA LA GENTE (WATER FOR PEOPLE)","","IMPUESTO SOBRE LA RENTA, ACTIVO NETO, APORTACIoN SOLIDARIA"
2019,9,"OTORGADAS SEGuN DECRETOS LEGIS","E2018002371","E2018002371","EXPORTADORA DEL ATLANTICO, S.A. DE C. V.,","","IMPUESTO SOBRE LA RENTA"
2019,9,"ZOLITUR","E2018000118","E2018000118","ELDONS S. A","","IMPUESTO SOBRE LA RENTA, ACTIVO NETO, APORTACIoN SOLIDARIA"
2019,9,"ZOLI","E2019002473","E2019002473","CAPA. S. A.","","IMPUESTO SOBRE LA VENTA"
2019,9,"ENERGiA RENOVABLE","E2018001040","E2018001040","ENERGIA LIMPIA JAREMAR, S.A. DE C.V.","","IMPUESTO SOBRE LA RENTA, ACTIVO NETO, APORTACIoN SOLIDARIA"
2019,9,"ENERGiA RENOVABLE","E2018002456","E2018002456","LLANOS DEL SUR FOTOVOLTAICA S.A","","IMPUESTO SOBRE LA VENTA"
2019,9,"ASOCIACIONES SIN FINES DE LUCR","E2018000465","E2018000465","ORGANISMO CRISTIANO DE DESARROLLO INTEGRAL DE HONDURAS (OCDIH)","","IMPUESTO SOBRE LA RENTA, ACTIVO NETO, APORTACIoN SOLIDARIA"
2019,9,"ASOCIACIONES SIN FINES DE LUCR","E2018000113","E2018000113","SOCIEDAD EDUCACIONAL INTERAMERICANA DE TEGUCIGALPA (SEIT)","","IMPUESTO SOBRE LA RENTA, ACTIVO NETO, APORTACIoN SOLIDARIA"
2019,9,"ZOLITUR","E2018002063","E2018002063","SEA SHELLS SOUVENIRS SHOP-ELEONOR NORA BODDEN SOLORZANO","","IMPUESTO SOBRE LA RENTA, ACTIVO NETO, APORTACIoN SOLIDARIA"
