"Ano","Mes","Solicitante","Beneficiario","Tipo_Solicitante","Sub_Tipo_Dispensa","Resolucion","Moneda","Valor_CIF_Suma"
"2019","1","ANTHONYS KEY HOTEL CORPORATION S.A. DE C.V.","ANTHONYS KEY HOTEL CORPORATION S.A. DE C.V.","DISPENSAS ESPECIALES","ZOLITUR","CON LUGAR","US$","1863.38"
"2019","1","EMBAJADA DE LOS ESTADOS UNIDOS DE AMERICA","EMBAJADA DE LOS ESTADOS UNIDOS DE AMERICA","DISPENSAS OFICIALES","EMBAJADAS","CON LUGAR","US$","4674.74"
"2019","1","EMPRESA NACIONAL DE ENERGIA ELECTRICA  ENEE","PROYECTO REHABILITACION Y REPOTENCIACION DEL COMPLEJO HIDROELECTRICO CAÑAVERAL RIO LINDO","DISPENSAS OFICIALES","SECTOR PUBLICO COMPRAS 2013","CON LUGAR","US$","154657.46"
"2019","1","EMBAJADA DE LA SOBERANA ORDEN MILITAR HOSPITALARIA DE MALTA","EMBAJADA DE LA SOBERANA ORDEN MILITAR HOSPITALARIA DE MALTA","DISPENSAS OFICIALES","EMBAJADAS","CON LUGAR","US$","7569.00"
"2019","1","EMBAJADA DE LA SOBERANA ORDEN MILITAR HOSPITALARIA DE MALTA","EMBAJADA DE LA SOBERANA ORDEN MILITAR HOSPITALARIA DE MALTA","DISPENSAS OFICIALES","EMBAJADAS","CON LUGAR","US$","22073.89"
"2019","1","L & L DISCOUNT STORE","L &L DISCOUNT STORE","DISPENSAS ESPECIALES","ZOLITUR","CON LUGAR","US$","44999.49"
"2019","1","HONDURAS SPINNING MILLS, S.A. DE C.V.","HONDURAS SPINNING MILLS, S.A. DE C.V.","PERMISOS ESPECIALES DE IM","ZONAS LIBRES","CON LUGAR","US$","946041.20"
"2019","1","LA ASOCIACION  CAPACITACION EDUCACION, PRODUCCION, UNIFICACION, DESARROLLO, ORGANIZACION    CEPUDO","CEPUDO","DISPENSAS ESPECIALES","ORGANIZACIONES SIN FINES DE LUCRO/ DONACIONES","CON LUGAR","US$","48889.00"
"2019","1","ENTRETENIMIENTO Y DIVERSIONES S.A DE C.V.","CHUCK E CHEESE S HONDURAS","DISPENSAS ESPECIALES","FOMENTO AL TURISMO","CON LUGAR","US$","42338.48"
"2019","1","EMBAJADA DE LOS ESTADOS UNIDOS DE AMERICA","SHERYL SUZANNAH DUPUIS","DISPENSAS OFICIALES","DIPLOMATICOS Y FUNCIONARIOS DE EMBAJADAS","CON LUGAR","US$","3263.16"
"2019","1","UNIVERSIDAD NACIONAL DE AGRICULTURA","PROYECTO DE INCLUSION SOCIAL A LA EDUCACION SUPERIOR E IMPULSO DE LA PRODUCCION SUSTENTABLE (UNA PINPROS)","DISPENSAS OFICIALES","SECTOR PUBLICO COMPRAS 2013","CON LUGAR","US$","726161.85"
"2019","1","EMBAJADA DE LOS ESTADOS UNIDOS DE AMERICA","SHERYL SUZANNAH DUPUIS","DISPENSAS OFICIALES","DIPLOMATICOS Y FUNCIONARIOS DE EMBAJADAS","CON LUGAR","US$","7281.91"
"2019","1","CORPORACION CENTROAMERICANA DE SERVICIOS DE NAVEGACION AEREA  COCESNA","CORPORACION CENTROAMERICANA DE SERVICIOS DE NAVEGACION AEREA COCESNA","DISPENSAS OFICIALES","CORPORACION CENTROAMERICANA DE SERVICIOS DE NAVEGACION AEREA COCESNA","CON LUGAR","US$","23003.04"
"2019","1","CORPORACION CENTROAMERICANA DE SERVICIOS DE NAVEGACION AEREA  COCESNA","CORPORACION CENTROAMERICANA DE SERVICIOS DE NAVEGACION AEREA COCESNA","DISPENSAS OFICIALES","CORPORACION CENTROAMERICANA DE SERVICIOS DE NAVEGACION AEREA COCESNA","CON LUGAR","US$","27987.52"
"2019","1","PRODUCTOS VARIOS SOCIEDAD ANONIMA DE CAPITAL VARIABLE (PROVASA)","PRODUCTOS VARIOS SOCIEDAD ANINIMA DE CAPITAL VARIABLE (PROVASA)","PERMISOS ESPECIALES DE IM","ZONAS LIBRES","CON LUGAR","US$","25490.00"
"2019","1","CORPORACION CENTROAMERICANA DE SERVICIOS DE NAVEGACION AEREA  COCESNA","CORPORACION CENTROAMERICANA DE SERVICIOS DE NAVEGACION AEREA COCESNA","DISPENSAS OFICIALES","CORPORACION CENTROAMERICANA DE SERVICIOS DE NAVEGACION AEREA COCESNA","CON LUGAR","US$","1700.75"
"2019","1","EMBAJADA DE LOS ESTADOS UNIDOS DE AMERICA","CHARLES VICENT MURPHY","DISPENSAS OFICIALES","DIPLOMATICOS Y FUNCIONARIOS DE EMBAJADAS","CON LUGAR","US$","8202.95"
"2019","1","IGLESIA CATOLICA DE HONDURAS","DIOCESIS DE SAN PEDRO SULA   PARROQUIA EMMANUEL","DISPENSAS ESPECIALES","IGLESIA CATOLICA DE HONDURAS","CON LUGAR","US$","3950.00"
"2019","1","HAZAMA ANDO CORPORATION","THE PROJECT FOR LANDSLIDE  PREVENTION IN NATIONAL ROAD NO.6","DISPENSAS ESPECIALES","CONSTRUCTORAS (CONVENIO)","CON LUGAR","US$","18884.48"
"2019","1","HAZAMA ANDO CORPORATION","THE PROJECT FOR LANDSLIDE  PREVENTION IN NATIONAL ROAD NO.6","DISPENSAS ESPECIALES","CONSTRUCTORAS (CONVENIO)","CON LUGAR","US$","69477.36"
"2019","1","LA ASOCIACION  CAPACITACION EDUCACION, PRODUCCION, UNIFICACION, DESARROLLO, ORGANIZACION    CEPUDO","CEPUDO","DISPENSAS ESPECIALES","ORGANIZACIONES SIN FINES DE LUCRO/ DONACIONES","CON LUGAR","US$","17675.50"
"2019","1","LA ASOCIACION  CAPACITACION EDUCACION, PRODUCCION, UNIFICACION, DESARROLLO, ORGANIZACION    CEPUDO","LA ASOCIACION  CAPACITACION., EDUCACION PRODUCCION, UNIFICACION, DESARROLLO, Y ORGANIZACION","DISPENSAS ESPECIALES","ORGANIZACIONES SIN FINES DE LUCRO/ DONACIONES","CON LUGAR","US$","36511.34"
"2019","1","THE ISLAND SA.","THE ISLAND SA.","DISPENSAS ESPECIALES","ZOLITUR","CON LUGAR","US$","36506.31"
"2019","1","THE ISLAND SA.","THE ISLAND SA.","DISPENSAS ESPECIALES","ZOLITUR","CON LUGAR","US$","89077.49"
"2019","1","UTILA POWER COMPANY  S.A. DE C.V.","UTILA POWER COMPANY S.A DE C.V.","DISPENSAS ESPECIALES","ZOLITUR","CON LUGAR","US$","2921.93"
"2019","1","HOLLAND EXECUTIVE INN S DE R L DE C V","HOLLAND EXECUTIVE INN S DE R L DE C V","DISPENSAS ESPECIALES","ZOLITUR","CON LUGAR","US$","1167.86"
"2019","1","EMBAJADA DE LA REPUBLICA DE CHINA (TAIWAN)","CAMARA FRIA CON ENERGIA FOTOVOLTAICA ESTACION SANTA CATARINA 23K WP","DISPENSAS OFICIALES","EMBAJADAS","CON LUGAR","US$","36600.00"
"2019","1","FUNDACION PARA LA VIVIENDA COOPERATIVA CHF INTERNACIONAL","CONJUNTO DE SERVICIOS INTEGRADOS DE ITS Y VIH PARA POBLACIONES CLAVE Y VULNERABLES EN HONDURAS","DISPENSAS OFICIALES","FUNDACION PARA LA VIVIENDA COOPERATIVA CHF","CON LUGAR","US$","376.74"
"2019","1","EMBAJADA DE LOS ESTADOS UNIDOS DE AMERICA","CHRISTOPHER PATRICK MENDOZA","DISPENSAS OFICIALES","DIPLOMATICOS Y FUNCIONARIOS DE EMBAJADAS","CON LUGAR","US$","51117.39"
"2019","1","EMBAJADA DE LOS ESTADOS UNIDOS DE AMERICA","RYDELL CHARLES FLETCHER","DISPENSAS OFICIALES","DIPLOMATICOS Y FUNCIONARIOS DE EMBAJADAS","CON LUGAR","US$","51852.80"
"2019","1","EMBAJADA DE LOS ESTADOS UNIDOS DE AMERICA","CHARLES VICENT MURPHY","DISPENSAS OFICIALES","DIPLOMATICOS Y FUNCIONARIOS DE EMBAJADAS","CON LUGAR","US$","8149.80"
"2019","1","SECRETARIA DE ESTADO EN EL DESPACHO DE DEFENSA NACIONAL","FUERZA AEREA  HONDUREÑA","DISPENSAS OFICIALES","SECTOR PUBLICO COMPRAS 2013","CON LUGAR","US$","1000.00"
"2019","1","MISIONES DEL AGUA INTERNACIONAL","MISIONES DEL AGUA INTERNACIONAL","DISPENSAS ESPECIALES","ORGANIZACIONES SIN FINES DE LUCRO/ DONACIONES","CON LUGAR","US$","175000.00"
"2019","1","SOCIEDAD ELECTRICA MESOAMERICANA S.A. (SEMSA)","PROYECTO HIDROELECTRICO ""MEZAPA"".","DISPENSAS ESPECIALES","ENERGIA HIDROELECTRICA","CON LUGAR","US$","2514.43"
"2019","1","ORGANIZACION PUBLICITARIA  S.A. OPSA  EDITORA DE DIARIO LA PRENSA","ORGANIZACION PUBLICITARIA S.A. OPSA  DIARIO LA PRENSA","DISPENSAS ESPECIALES","EMISION DEL PENSAMIENTO / IMPRENTAS Y EDITORAS","CON LUGAR","US$","4111800.00"
"2019","1","SOCIEDAD MERCANTIL PUBLICACIONES Y NOTICIAS S. A. (PUBLYNSA) EDITORA DE DIARIO EL HERALDO","EMPRESA PUBLICACIONES Y NOTICIAS S. A. PUBLYNSA EDITORA DE DIARIO EL HERALDO","DISPENSAS ESPECIALES","EMISION DEL PENSAMIENTO / IMPRENTAS Y EDITORAS","CON LUGAR","US$","2560800.00"
"2019","1","FUNDACION CAMO  HONDURAS","FUNDACION CAMO  HONDURAS","DISPENSAS ESPECIALES","ORGANIZACIONES SIN FINES DE LUCRO/ DONACIONES","CON LUGAR","US$","151371.98"
"2019","1","CRUZ ROJA  HONDUREÑA","CRUZ ROJA HONDUREÑA","DISPENSAS ESPECIALES","CRUZ ROJA HONDUREÑA / COMPRAS","CON LUGAR","US$","2612.07"
"2019","1","CRUZ ROJA  HONDUREÑA","CRUZ ROJA HONDUREÑA","DISPENSAS ESPECIALES","CRUZ ROJA HONDUREÑA / COMPRAS","CON LUGAR","US$","24378.30"
"2019","1","CRUZ ROJA  HONDUREÑA","CRUZ ROJA HONDUREÑA","DISPENSAS ESPECIALES","CRUZ ROJA HONDUREÑA / COMPRAS","CON LUGAR","US$","186485.17"
"2019","1","MISION TECNICA DE LA REPUBLICA DE CHINA  (TAIWAN)","MISION TECNICA DE LA REPUBLICA DE CHINA ( TAIWAN)","SOLICITUD DE VENTA DE VEH","VENTA LIBRE EMBAJADAS","CON LUGAR","US$","20800.00"
"2019","1","IGLESIA CATOLICA DE HONDURAS","DIOCESIS DE CHOLUTECA   PARROQUIA SAN JUAN PABLO II, NAMASIGÜE","DISPENSAS ESPECIALES","IGLESIA CATOLICA DE HONDURAS","CON LUGAR","US$","21000.00"
"2019","1","OPERACION SONRISA HONDURAS","OPERACION SONRISA HONDURAS","DISPENSAS ESPECIALES","ORGANIZACIONES SIN FINES DE LUCRO/ DONACIONES","CON LUGAR","US$","184539.33"
"2019","1","LA ASOCIACION  CAPACITACION EDUCACION, PRODUCCION, UNIFICACION, DESARROLLO, ORGANIZACION    CEPUDO","CEPUDO","DISPENSAS ESPECIALES","ORGANIZACIONES SIN FINES DE LUCRO/ DONACIONES","CON LUGAR","US$","11878.00"
"2019","1","SECRETARIA DE SALUD","PROGRAMA AMPLIADO DE INMUNIZACIONES (PAI)","DISPENSAS OFICIALES","SECTOR PUBLICO COMPRAS 2013","CON LUGAR","US$","31587.42"
"2019","1","SECRETARIA DE SALUD","PROGRAMA AMPLIADO DE INMUNIZACIONES (PAI)","DISPENSAS OFICIALES","SECTOR PUBLICO COMPRAS 2013","CON LUGAR","US$","33380.40"
"2019","1","SECRETARIA DE SALUD","PROGRAMA AMPLIADO DE INMUNIZACIONES (PAI)","DISPENSAS OFICIALES","SECTOR PUBLICO COMPRAS 2013","CON LUGAR","US$","22639.85"
"2019","1","MINISTERIO ALIMENTANDO A LOS PEQUEÑITOS DE DIOS","MINISTERIO ALIMENTANDO A LOS PEQUEÑITOS DE DIOS","DISPENSAS ESPECIALES","ORGANIZACIONES SIN FINES DE LUCRO/ DONACIONES","CON LUGAR","US$","7902.00"
"2019","1","ASOCIACION GOAL INTERNACIONAL","ASOCIACION GOAL INTERNACIONAL","DISPENSAS ESPECIALES","ORGANIZACIONES SIN FINES DE LUCRO/ DONACIONES","CON LUGAR","US$","97882.00"
"2019","1","IGNACIO ALBERTO RODRIGUEZ","IGNACIO ALBERTO RODRIGUEZ","SOLICITUD DE VENTA DE VEH","VENTA PREVIO PAGO","CON LUGAR","US$","87500.00"
"2019","1","EMBAJADA DE LOS ESTADOS UNIDOS DE AMERICA","EMBAJADA DE LOS ESTADOS UNIDOS DE AMERICA","SOLICITUD DE VENTA DE VEH","VENTA LIBRE EMBAJADAS","CON LUGAR","US$","35531.05"
"2019","1","HAZAMA ANDO CORPORATION","THE PROJECT FOR LANDSLIDE  PREVENTION IN NATIONAL ROAD NO.6","DISPENSAS ESPECIALES","CONSTRUCTORAS (CONVENIO)","CON LUGAR","US$","8411.62"
"2019","1","HAZAMA ANDO CORPORATION","THE PROJECT FOR LANDSLIDE  PREVENTION IN NATIONAL ROAD NO.6","DISPENSAS ESPECIALES","CONSTRUCTORAS (CONVENIO)","CON LUGAR","US$","9737.66"
"2019","1","HAZAMA ANDO CORPORATION","THE PROJECT FOR LANDSLIDE  PREVENTION IN NATIONAL ROAD NO.6","DISPENSAS ESPECIALES","CONSTRUCTORAS (CONVENIO)","CON LUGAR","US$","9671.26"
"2019","1","HAZAMA ANDO CORPORATION","THE PROJECT FOR LANDSLIDE  PREVENTION IN NATIONAL ROAD NO.6","DISPENSAS ESPECIALES","CONSTRUCTORAS (CONVENIO)","CON LUGAR","US$","9730.17"
"2019","1","HAZAMA ANDO CORPORATION","THE PROJECT FOR LANDSLIDE  PREVENTION IN NATIONAL ROAD NO.6","DISPENSAS ESPECIALES","CONSTRUCTORAS (CONVENIO)","CON LUGAR","US$","9671.26"
"2019","1","HAZAMA ANDO CORPORATION","THE PROJECT FOR LANDSLIDE  PREVENTION IN NATIONAL ROAD NO.6","DISPENSAS ESPECIALES","CONSTRUCTORAS (CONVENIO)","CON LUGAR","US$","9690.61"
"2019","1","FUERZA DE TAREA CONJUNTA BRAVO","FUERZA DE TAREA CONJUNTA BRAVO","DISPENSAS OFICIALES","FUERZA DE TAREA CONJUNTO BRAVO","CON LUGAR","US$","3262948.99"
"2019","1","FUERZA DE TAREA CONJUNTA BRAVO","FUERZA DE TAREA CONJUNTA BRAVO","DISPENSAS OFICIALES","FUERZA DE TAREA CONJUNTO BRAVO","CON LUGAR","US$","889374.72"
"2019","1","FUERZA DE TAREA CONJUNTA BRAVO","FUERZA DE TAREA CONJUNTA BRAVO","DISPENSAS OFICIALES","FUERZA DE TAREA CONJUNTO BRAVO","CON LUGAR","US$","205945.38"
"2019","1","FUERZA DE TAREA CONJUNTA BRAVO","FUERZA DE TAREA CONJUNTA BRAVO","DISPENSAS OFICIALES","FUERZA DE TAREA CONJUNTO BRAVO","CON LUGAR","US$","224795.20"
"2019","1","FUERZA DE TAREA CONJUNTA BRAVO","FUERZA DE TAREA CONJUNTA BRAVO","DISPENSAS OFICIALES","FUERZA DE TAREA CONJUNTO BRAVO","CON LUGAR","US$","1586940.73"
"2019","1","FUERZA DE TAREA CONJUNTA BRAVO","FUERZA DE TAREA CONJUNTA BRAVO","DISPENSAS OFICIALES","FUERZA DE TAREA CONJUNTO BRAVO","CON LUGAR","US$","262758.94"
"2019","1","FUERZA DE TAREA CONJUNTA BRAVO","FUERZA DE TAREA CONJUNTA BRAVO","DISPENSAS OFICIALES","FUERZA DE TAREA CONJUNTO BRAVO","CON LUGAR","US$","1097862.03"
"2019","1","FUERZA DE TAREA CONJUNTA BRAVO","FUERZA DE TAREA CONJUNTA BRAVO","DISPENSAS OFICIALES","FUERZA DE TAREA CONJUNTO BRAVO","CON LUGAR","US$","218498.41"
"2019","1","FUERZA DE TAREA CONJUNTA BRAVO","FUERZA DE TAREA CONJUNTA BRAVO","DISPENSAS OFICIALES","FUERZA DE TAREA CONJUNTO BRAVO","CON LUGAR","US$","279825.67"
"2019","1","FUERZA DE TAREA CONJUNTA BRAVO","FUERZA DE TAREA CONJUNTA BRAVO","DISPENSAS OFICIALES","FUERZA DE TAREA CONJUNTO BRAVO","CON LUGAR","US$","1085011.87"
"2019","1","FUERZA DE TAREA CONJUNTA BRAVO","FUERZA DE TAREA CONJUNTA BRAVO","DISPENSAS OFICIALES","FUERZA DE TAREA CONJUNTO BRAVO","CON LUGAR","US$","397553.48"
