"Ano","Mes","Solicitante","Beneficiario","Tipo_Solicitante","Sub_Tipo_Dispensa","Resolucion","Moneda","Valor_CIF_Suma"
"2015","1","BAY ISLAND ELECTRIC SUPLY Y PLAZA MAR","BAY ISLAND ELECTRIC SUPLY Y PLAZA MAR","DISPENSAS ESPECIALES","ZOLITUR","CON LUGAR","US$","12836.99"
"2015","1","DIAMONDS INTERNATIONAL HONDURAS, S.A.","DIAMONDS INTERNATIONAL HONDURAS, S.A.","DISPENSAS ESPECIALES","ZOLITUR","CON LUGAR","US$","9577.86"
"2015","1","EMBAJADA DE LOS ESTADOS UNIDOS DE AMERICA","JUAN RAMON MEJIA","SOLICITUD DE VENTA DE VEH","VENTA LIBRE FUNCIONARIOS EMBAJADAS","CON LUGAR","LPS","1020697.78"
"2015","1","ASOCIACION EVANGELISTICA LARRY JONES FEED THE CHILDREN","ASOCIACION EVANGELISTICA  LARRY JONES  FEED THE CHILDREN","DISPENSAS ESPECIALES","ORGANIZACIONES SIN FINES DE LUCRO/ DONACIONES","CON LUGAR","US$","6072.50"
"2015","1","TRANSPORTES TERRESTRES, FLOWER BAY, S DE R.L DE C.V","TRANSPORTES TERRESTRES, FLOWER BAY, S DE R.L DE C.V","SOLICITUD DE VENTA DE VEH","VENTA PREVIO PAGO","CON LUGAR","US$","27000.00"
"2015","1","ANTHONYS KEY HOTEL CORPORATION S.A. DE C.V.","ANTHONYS KEY HOTEL CORPORATION S.A. DE C.V.","DISPENSAS ESPECIALES","ZOLITUR","CON LUGAR","US$","21011.73"
"2015","1","BANCO CENTROAMERICANO DE INTEGRACION ECONOMICA","SERGIO ALEJANDRO SOLANO UGALDE","SOLICITUD DE VENTA DE VEH","VENTA PARA FUNCIONARIOS DEL BCIE","CON LUGAR","US$","11500.00"
"2015","1","BANCO CENTROAMERICANO DE INTEGRACION ECONOMICA","EGDARES FUTCH HIGUEROS","SOLICITUD DE VENTA DE VEH","VENTA PARA FUNCIONARIOS DEL BCIE","CON LUGAR","US$","26000.00"
"2015","1","BANCO CENTROAMERICANO DE INTEGRACION ECONOMICA","LUIS CARLOS VALERIO SANCHEZ","SOLICITUD DE VENTA DE VEH","VENTA PARA FUNCIONARIOS DEL BCIE","CON LUGAR","US$","25500.00"
"2015","1","BANCO CENTROAMERICANO DE INTEGRACION ECONOMICA","ALEJANDRO JOSE OSORIO MEJIA","SOLICITUD DE VENTA DE VEH","VENTA PARA FUNCIONARIOS DEL BCIE","CON LUGAR","US$","20800.00"
"2015","1","EDITORIAL HONDURAS S.A. DE C.V. (DIARIO TIEMPO)","DIARIO EL TIEMPO","DISPENSAS ESPECIALES","EMISION DEL PENSAMIENTO / IMPRENTAS Y EDITORAS","CON LUGAR","US$","279360.00"
"2015","1","LA ASOCIACION  CAPACITACION EDUCACION, PRODUCCION, UNIFICACION, DESARROLLO, ORGANIZACION    CEPUDO","LA ASOCIACION  CAPACITACION., EDUCACION PRODUCCION, UNIFICACION, DESARROLLO, Y ORGANIZACION","DISPENSAS ESPECIALES","ORGANIZACIONES SIN FINES DE LUCRO/ DONACIONES","CON LUGAR","US$","16531.25"
